O43681	9606.ENSP00000466379
Q96I59	9606.ENSP00000281038
P14920	9606.ENSP00000228476
P63096	9606.ENSP00000343027
P33151	9606.ENSP00000344115
P78330	9606.ENSP00000378854
Q9UHC9	9606.ENSP00000289547
P54819	9606.ENSP00000346921
P27816	9606.ENSP00000353375
P49763	9606.ENSP00000451040
Q9NSA2	9606.ENSP00000218176
Q96EM0	9606.ENSP00000247194
Q9Y6M4	9606.ENSP00000353904
P06729	9606.ENSP00000358490
Q9UKM7	9606.ENSP00000360645
Q9NP56	9606.ENSP00000310661
Q6NXR0	9606.ENSP00000244314
P05181	9606.ENSP00000440689
P34969	9606.ENSP00000337949
P49286	9606.ENSP00000257068
Q15102	9606.ENSP00000444935
Q9NR33	9606.ENSP00000420176
P17735	9606.ENSP00000348234
P07686	9606.ENSP00000261416
P12319	9606.ENSP00000357097
P80075	9606.ENSP00000378118
P19793	9606.ENSP00000419692
P08174	9606.ENSP00000356030
P07550	9606.ENSP00000305372
P49765	9606.ENSP00000311127
P23381	9606.ENSP00000347495
P53667	9606.ENSP00000336740
O43920	9606.ENSP00000362060
P20248	9606.ENSP00000274026
Q9Y6M9	9606.ENSP00000276689
P11086	9606.ENSP00000269582
Q8N1C3	9606.ENSP00000295452
P13073	9606.ENSP00000457513
P49589	9606.ENSP00000369897
Q15761	9606.ENSP00000423917
Q9UHY7	9606.ENSP00000273920
P31937	9606.ENSP00000265395
P13686	9606.ENSP00000468767
Q5T601	9606.ENSP00000360299
Q8TCD5	9606.ENSP00000245552
Q14643	9606.ENSP00000306253
P51649	9606.ENSP00000314649
P23945	9606.ENSP00000384708
P07949	9606.ENSP00000347942
Q99436	9606.ENSP00000259457
P55786	9606.ENSP00000320324
Q16647	9606.ENSP00000244043
P33260	9606.ENSP00000285979
Q8TC12	9606.ENSP00000370750
O94808	9606.ENSP00000253778
Q01668	9606.ENSP00000288139
P48736	9606.ENSP00000352121
P56181	9606.ENSP00000346196
P37058	9606.ENSP00000364412
P20594	9606.ENSP00000341083
O60896	9606.ENSP00000242249
Q9BZZ2	9606.ENSP00000341141
Q06520	9606.ENSP00000222002
P27824	9606.ENSP00000247461
P00338	9606.ENSP00000445175
P61024	9606.ENSP00000311083
P35222	9606.ENSP00000344456
P13500	9606.ENSP00000225831
Q13363	9606.ENSP00000290921
P43088	9606.ENSP00000359793
Q01740	9606.ENSP00000481732
Q92753	9606.ENSP00000366093
P18505	9606.ENSP00000295454
P31785	9606.ENSP00000363318
Q13547	9606.ENSP00000362649
P09669	9606.ENSP00000428895
P08574	9606.ENSP00000317159
P51160	9606.ENSP00000360502
Q92876	9606.ENSP00000366047
P06400	9606.ENSP00000267163
P06401	9606.ENSP00000325120
Q07912	9606.ENSP00000371341
O15067	9606.ENSP00000313490
P05231	9606.ENSP00000385675
P60981	9606.ENSP00000246069
P41145	9606.ENSP00000265572
P17544	9606.ENSP00000399465
P07108	9606.ENSP00000439012
P00742	9606.ENSP00000364709
O76083	9606.ENSP00000291539
P10092	9606.ENSP00000433490
P35030	9606.ENSP00000354280
P0C0L4	9606.ENSP00000396688
Q9UN76	9606.ENSP00000470801
P09211	9606.ENSP00000381607
P08172	9606.ENSP00000399745
Q9UG56	9606.ENSP00000371586
P56556	9606.ENSP00000418842
P10635	9606.ENSP00000353820
Q15078	9606.ENSP00000318486
Q9UNA0	9606.ENSP00000284987
P11217	9606.ENSP00000164139
Q14289	9606.ENSP00000380638
P22314	9606.ENSP00000338413
P00746	9606.ENSP00000332139
P07237	9606.ENSP00000327801
P56937	9606.ENSP00000254521
P19429	9606.ENSP00000341838
Q9UK23	9606.ENSP00000310998
Q96LB9	9606.ENSP00000290722
P05787	9606.ENSP00000449404
O75976	9606.ENSP00000225719
P08100	9606.ENSP00000296271
Q9NWZ5	9606.ENSP00000346155
P63151	9606.ENSP00000325074
Q96GW9	9606.ENSP00000282276
P15502	9606.ENSP00000351807
P02679	9606.ENSP00000336829
P25815	9606.ENSP00000296370
P00709	9606.ENSP00000301046
P19835	9606.ENSP00000361151
P32929	9606.ENSP00000359976
P04629	9606.ENSP00000431418
P40306	9606.ENSP00000351314
Q9P0X4	9606.ENSP00000385019
O15511	9606.ENSP00000294742
Q16774	9606.ENSP00000355689
Q00266	9606.ENSP00000361287
Q9NS40	9606.ENSP00000331727
P23528	9606.ENSP00000432660
P41235	9606.ENSP00000312987
Q9NZV8	9606.ENSP00000333496
Q92993	9606.ENSP00000340330
Q7Z406	9606.ENSP00000470298
P06756	9606.ENSP00000261023
Q99447	9606.ENSP00000442050
Q07021	9606.ENSP00000225698
P02708	9606.ENSP00000261007
Q01362	9606.ENSP00000278888
P80188	9606.ENSP00000362108
P23677	9606.ENSP00000260386
P20132	9606.ENSP00000257549
P17812	9606.ENSP00000361704
P00326	9606.ENSP00000426083
Q9Y698	9606.ENSP00000300105
Q8N5Z0	9606.ENSP00000423190
Q08828	9606.ENSP00000297323
Q95460	9606.ENSP00000477563
P27815	9606.ENSP00000370078
Q99712	9606.ENSP00000331698
P20138	9606.ENSP00000262262
Q969S8	9606.ENSP00000216271
Q05513	9606.ENSP00000367830
P56192	9606.ENSP00000262027
O95178	9606.ENSP00000419087
P49747	9606.ENSP00000222271
Q05901	9606.ENSP00000289957
O14521	9606.ENSP00000364699
P08758	9606.ENSP00000296511
Q96EB6	9606.ENSP00000212015
Q9UDR5	9606.ENSP00000377040
Q8NET8	9606.ENSP00000301365
P62312	9606.ENSP00000422392
Q96NX5	9606.ENSP00000009105
P05106	9606.ENSP00000452786
P21281	9606.ENSP00000276390
P41597	9606.ENSP00000292301
O60911	9606.ENSP00000445052
Q15822	9606.ENSP00000385026
P99999	9606.ENSP00000307786
Q8NI22	9606.ENSP00000386651
Q9NYQ3	9606.ENSP00000483507
Q15067	9606.ENSP00000293217
Q9P289	9606.ENSP00000377867
P48551	9606.ENSP00000343957
P08709	9606.ENSP00000364731
P36871	9606.ENSP00000360124
P10636	9606.ENSP00000340820
P35270	9606.ENSP00000234454
P00325	9606.ENSP00000306606
Q08209	9606.ENSP00000378323
P49221	9606.ENSP00000296125
P13498	9606.ENSP00000261623
P29120	9606.ENSP00000308024
O75715	9606.ENSP00000392398
P54619	9606.ENSP00000323867
Q05940	9606.ENSP00000298472
P43115	9606.ENSP00000349003
P04839	9606.ENSP00000367851
O95298	9606.ENSP00000281031
P22888	9606.ENSP00000294954
Q8NBQ5	9606.ENSP00000351035
P14902	9606.ENSP00000430950
Q9BXA5	9606.ENSP00000355156
Q15418	9606.ENSP00000435412
Q9BZV3	9606.ENSP00000193391
Q9UNN8	9606.ENSP00000216968
O43181	9606.ENSP00000296684
P17707	9606.ENSP00000357880
P10912	9606.ENSP00000483403
P14174	9606.ENSP00000215754
P46926	9606.ENSP00000423674
P14780	9606.ENSP00000361405
Q86YB8	9606.ENSP00000346635
Q08426	9606.ENSP00000231887
P45452	9606.ENSP00000260302
P15291	9606.ENSP00000369055
P30613	9606.ENSP00000339933
P12081	9606.ENSP00000425634
P00395	9606.ENSP00000354499
Q03181	9606.ENSP00000310928
P12931	9606.ENSP00000362680
P51580	9606.ENSP00000312304
Q9UHI5	9606.ENSP00000320378
O14818	9606.ENSP00000359910
P23434	9606.ENSP00000319531
P15813	9606.ENSP00000357153
P15259	9606.ENSP00000297283
O00763	9606.ENSP00000341044
Q16881	9606.ENSP00000434516
O15399	9606.ENSP00000263269
Q9UGI9	9606.ENSP00000397133
Q07954	9606.ENSP00000243077
O95299	9606.ENSP00000252711
P14410	9606.ENSP00000264382
P55769	9606.ENSP00000383949
O14939	9606.ENSP00000263088
Q8NFA2	9606.ENSP00000380450
O43525	9606.ENSP00000373648
P23416	9606.ENSP00000218075
P16220	9606.ENSP00000387699
P10696	9606.ENSP00000295453
P02452	9606.ENSP00000225964
Q9GZT9	9606.ENSP00000355601
P18085	9606.ENSP00000306010
P17342	9606.ENSP00000265074
P21397	9606.ENSP00000340684
P09038	9606.ENSP00000264498
P48051	9606.ENSP00000477437
Q14697	9606.ENSP00000340466
P19801	9606.ENSP00000411613
O14727	9606.ENSP00000448165
Q16773	9606.ENSP00000399415
Q12809	9606.ENSP00000262186
P17252	9606.ENSP00000408695
Q92953	9606.ENSP00000430846
P26572	9606.ENSP00000404718
Q9NR19	9606.ENSP00000253382
P16422	9606.ENSP00000263735
Q9BZX2	9606.ENSP00000356853
Q8TDV5	9606.ENSP00000276218
Q07973	9606.ENSP00000216862
P46976	9606.ENSP00000340736
Q9HCC0	9606.ENSP00000343657
Q08499	9606.ENSP00000345502
Q02750	9606.ENSP00000302486
P08123	9606.ENSP00000297268
P28845	9606.ENSP00000355995
Q13423	9606.ENSP00000264663
P20701	9606.ENSP00000349252
O14957	9606.ENSP00000467262
P28222	9606.ENSP00000358963
P49902	9606.ENSP00000339479
Q13285	9606.ENSP00000362690
Q8NG66	9606.ENSP00000372857
Q9NY65	9606.ENSP00000333326
P51857	9606.ENSP00000242375
P17787	9606.ENSP00000357461
P10644	9606.ENSP00000376475
P55789	9606.ENSP00000248114
P16112	9606.ENSP00000387356
Q8WWT9	9606.ENSP00000279027
Q96Q83	9606.ENSP00000302232
Q9GZU7	9606.ENSP00000273062
P09622	9606.ENSP00000205402
P25789	9606.ENSP00000044462
P30825	9606.ENSP00000370128
Q8WWQ8	9606.ENSP00000373539
P41143	9606.ENSP00000234961
Q92934	9606.ENSP00000378040
O43293	9606.ENSP00000442973
P62158	9606.ENSP00000349467
P55072	9606.ENSP00000351777
P51686	9606.ENSP00000350256
P50052	9606.ENSP00000360973
O75390	9606.ENSP00000342056
Q96RQ3	9606.ENSP00000265594
O14880	9606.ENSP00000356864
P21695	9606.ENSP00000301149
P01116	9606.ENSP00000256078
Q9Y4U1	9606.ENSP00000383840
Q5JPH6	9606.ENSP00000395196
P08069	9606.ENSP00000268035
P43403	9606.ENSP00000264972
Q16678	9606.ENSP00000478561
Q9ULZ9	9606.ENSP00000353767
P16070	9606.ENSP00000398632
P04118	9606.ENSP00000259938
P11498	9606.ENSP00000377532
Q8NFW8	9606.ENSP00000229329
Q96MA6	9606.ENSP00000298545
O95622	9606.ENSP00000419361
P05451	9606.ENSP00000233735
Q9BYZ2	9606.ENSP00000302393
P21817	9606.ENSP00000352608
Q9Y3R4	9606.ENSP00000233840
Q99735	9606.ENSP00000482639
Q9HCR9	9606.ENSP00000286063
P31994	9606.ENSP00000351497
Q99542	9606.ENSP00000313437
P62750	9606.ENSP00000389103
Q13233	9606.ENSP00000382423
P08581	9606.ENSP00000317272
P16442	9606.ENSP00000483018
P16234	9606.ENSP00000257290
P02763	9606.ENSP00000259396
P16118	9606.ENSP00000364145
P49916	9606.ENSP00000367787
Q02156	9606.ENSP00000306124
P30419	9606.ENSP00000468424
P27144	9606.ENSP00000378743
P07711	9606.ENSP00000345344
P24557	9606.ENSP00000389414
P41252	9606.ENSP00000364794
P12532	9606.ENSP00000406577
Q92843	9606.ENSP00000250405
Q9Y2I1	9606.ENSP00000339958
Q16322	9606.ENSP00000358786
P38606	9606.ENSP00000273398
O60494	9606.ENSP00000367064
Q8WUI4	9606.ENSP00000080059
P07585	9606.ENSP00000052754
P78527	9606.ENSP00000313420
Q9UNX3	9606.ENSP00000428223
P36021	9606.ENSP00000465734
O60895	9606.ENSP00000253796
P00414	9606.ENSP00000354982
O60931	9606.ENSP00000371294
Q8TDS4	9606.ENSP00000375066
P45877	9606.ENSP00000303057
P02689	9606.ENSP00000256103
P22455	9606.ENSP00000292408
P51172	9606.ENSP00000368411
P05093	9606.ENSP00000358903
Q99808	9606.ENSP00000377424
P05141	9606.ENSP00000360671
P69905	9606.ENSP00000322421
P59998	9606.ENSP00000388169
P50281	9606.ENSP00000308208
P50416	9606.ENSP00000265641
O14594	9606.ENSP00000252575
O95665	9606.ENSP00000303686
P12314	9606.ENSP00000358165
P17213	9606.ENSP00000262865
P51606	9606.ENSP00000377303
P49821	9606.ENSP00000322450
P10826	9606.ENSP00000332296
P02741	9606.ENSP00000255030
O00591	9606.ENSP00000430100
O60678	9606.ENSP00000331879
P06133	9606.ENSP00000305221
P32119	9606.ENSP00000301522
Q13557	9606.ENSP00000339740
P42262	9606.ENSP00000296526
Q9HAW9	9606.ENSP00000362549
P16870	9606.ENSP00000386104
Q13956	9606.ENSP00000266395
Q96QU6	9606.ENSP00000263776
Q00535	9606.ENSP00000419782
O43617	9606.ENSP00000480332
Q8IYQ7	9606.ENSP00000434887
Q07075	9606.ENSP00000265162
P02747	9606.ENSP00000363770
O75900	9606.ENSP00000348308
P31153	9606.ENSP00000303147
Q92952	9606.ENSP00000476519
P16519	9606.ENSP00000262545
P23921	9606.ENSP00000300738
P04053	9606.ENSP00000360216
Q16206	9606.ENSP00000337146
Q9Y345	9606.ENSP00000434364
P24530	9606.ENSP00000366416
P07477	9606.ENSP00000308720
Q13936	9606.ENSP00000266376
Q13002	9606.ENSP00000397026
P68371	9606.ENSP00000341289
P54577	9606.ENSP00000362576
P13051	9606.ENSP00000242576
A5X5Y0	9606.ENSP00000406050
Q96C36	9606.ENSP00000342502
Q13882	9606.ENSP00000442460
P07333	9606.ENSP00000286301
P51800	9606.ENSP00000332771
P11387	9606.ENSP00000354522
P08912	9606.ENSP00000372750
P17181	9606.ENSP00000270139
P08908	9606.ENSP00000316244
P23284	9606.ENSP00000300026
Q9H4M7	9606.ENSP00000263265
Q9UQM7	9606.ENSP00000381412
Q6PKH6	9606.ENSP00000334801
P15056	9606.ENSP00000288602
P31513	9606.ENSP00000356729
Q96T66	9606.ENSP00000340523
Q13630	9606.ENSP00000398803
P55011	9606.ENSP00000262461
P50897	9606.ENSP00000394863
Q9NPF7	9606.ENSP00000228534
P19404	9606.ENSP00000327268
P12429	9606.ENSP00000264908
P39900	9606.ENSP00000458585
P11172	9606.ENSP00000232607
P09104	9606.ENSP00000437402
P02776	9606.ENSP00000296029
P26951	9606.ENSP00000327890
Q8NE62	9606.ENSP00000319851
Q9ULA0	9606.ENSP00000273075
P01133	9606.ENSP00000265171
Q96EY8	9606.ENSP00000445920
P80511	9606.ENSP00000357726
O60493	9606.ENSP00000230085
O14832	9606.ENSP00000263038
P68104	9606.ENSP00000339063
Q16790	9606.ENSP00000367608
P30519	9606.ENSP00000477572
P21912	9606.ENSP00000364649
P48728	9606.ENSP00000273588
Q8WXA8	9606.ENSP00000322617
Q9NY47	9606.ENSP00000418081
P17936	9606.ENSP00000370473
P10646	9606.ENSP00000233156
Q10588	9606.ENSP00000265016
O43174	9606.ENSP00000224356
P42574	9606.ENSP00000311032
P03886	9606.ENSP00000354687
P43490	9606.ENSP00000222553
Q16568	9606.ENSP00000296777
Q13867	9606.ENSP00000261714
P35749	9606.ENSP00000379616
P28062	9606.ENSP00000364016
P01023	9606.ENSP00000323929
Q8WTS6	9606.ENSP00000274031
Q14626	9606.ENSP00000450565
P31644	9606.ENSP00000335592
P42330	9606.ENSP00000369927
Q9UGM6	9606.ENSP00000235521
Q99873	9606.ENSP00000406162
P48735	9606.ENSP00000331897
P00973	9606.ENSP00000388001
P01730	9606.ENSP00000011653
P07947	9606.ENSP00000462468
P04183	9606.ENSP00000301634
Q04771	9606.ENSP00000263640
Q8N142	9606.ENSP00000333019
P30038	9606.ENSP00000364490
P54802	9606.ENSP00000225927
Q9NP99	9606.ENSP00000244709
P14543	9606.ENSP00000264187
P13584	9606.ENSP00000360991
Q15382	9606.ENSP00000262187
P31213	9606.ENSP00000477587
Q9UM07	9606.ENSP00000364597
P15085	9606.ENSP00000011292
O96017	9606.ENSP00000372023
Q16877	9606.ENSP00000232375
P52788	9606.ENSP00000385746
P35080	9606.ENSP00000239940
Q8TE23	9606.ENSP00000364520
P05120	9606.ENSP00000401645
P00491	9606.ENSP00000354532
Q99798	9606.ENSP00000216254
O43175	9606.ENSP00000358417
P35218	9606.ENSP00000309649
P41231	9606.ENSP00000310305
O95865	9606.ENSP00000364945
Q99250	9606.ENSP00000364586
P20061	9606.ENSP00000257264
P03951	9606.ENSP00000384957
P68871	9606.ENSP00000333994
P41595	9606.ENSP00000258400
O14746	9606.ENSP00000309572
P19971	9606.ENSP00000379038
Q6P996	9606.ENSP00000379691
P02788	9606.ENSP00000231751
P01138	9606.ENSP00000358525
Q12882	9606.ENSP00000359211
P28161	9606.ENSP00000241337
P41594	9606.ENSP00000306138
P40926	9606.ENSP00000327070
Q8WU03	9606.ENSP00000287275
P49257	9606.ENSP00000251047
P35462	9606.ENSP00000373169
O15144	9606.ENSP00000295685
Q9Y234	9606.ENSP00000377115
P43220	9606.ENSP00000362353
P28074	9606.ENSP00000355325
Q9H252	9606.ENSP00000463533
Q8IU85	9606.ENSP00000478874
P04181	9606.ENSP00000357838
Q15796	9606.ENSP00000262160
Q8WWL2	9606.ENSP00000367494
P60953	9606.ENSP00000383118
P45983	9606.ENSP00000378974
P18440	9606.ENSP00000443194
Q13555	9606.ENSP00000319060
P02144	9606.ENSP00000380489
P36873	9606.ENSP00000341779
Q01718	9606.ENSP00000333821
Q03431	9606.ENSP00000321999
Q02641	9606.ENSP00000377840
O60701	9606.ENSP00000319501
O95907	9606.ENSP00000321735
P24385	9606.ENSP00000227507
P09382	9606.ENSP00000215909
Q9HBH1	9606.ENSP00000288022
Q9Y2D1	9606.ENSP00000396954
P20963	9606.ENSP00000354782
Q8TCT1	9606.ENSP00000406909
P02760	9606.ENSP00000265132
Q16769	9606.ENSP00000344829
P13726	9606.ENSP00000334145
P30411	9606.ENSP00000450482
Q9Y678	9606.ENSP00000325002
P62826	9606.ENSP00000446215
P05162	9606.ENSP00000215886
P23109	9606.ENSP00000430075
P61313	9606.ENSP00000309334
Q9Y275	9606.ENSP00000365048
Q9HAW8	9606.ENSP00000343838
P19224	9606.ENSP00000303174
P01584	9606.ENSP00000263341
Q13885	9606.ENSP00000369703
Q5TDP6	9606.ENSP00000359691
P01308	9606.ENSP00000380432
P07339	9606.ENSP00000236671
Q16445	9606.ENSP00000274545
O76074	9606.ENSP00000347046
Q9NWT6	9606.ENSP00000299163
P30838	9606.ENSP00000411821
P11802	9606.ENSP00000257904
P21462	9606.ENSP00000471493
P04062	9606.ENSP00000314508
P29972	9606.ENSP00000311165
O14732	9606.ENSP00000269159
P24941	9606.ENSP00000266970
Q15075	9606.ENSP00000317955
P47901	9606.ENSP00000356094
P00439	9606.ENSP00000448059
P11021	9606.ENSP00000324173
P78417	9606.ENSP00000358727
Q16654	9606.ENSP00000005178
P31350	9606.ENSP00000353770
O14735	9606.ENSP00000219789
P15309	9606.ENSP00000323036
P22735	9606.ENSP00000206765
P45880	9606.ENSP00000361635
Q9BY41	9606.ENSP00000362674
Q9UQD0	9606.ENSP00000346534
P98066	9606.ENSP00000243347
P22607	9606.ENSP00000339824
P25100	9606.ENSP00000368766
Q6NUM9	9606.ENSP00000295802
O14842	9606.ENSP00000246553
P51170	9606.ENSP00000300061
P63027	9606.ENSP00000314214
P17538	9606.ENSP00000354294
P30874	9606.ENSP00000350198
P10600	9606.ENSP00000238682
P45954	9606.ENSP00000357873
P22061	9606.ENSP00000356354
P00918	9606.ENSP00000285379
P0CG48	9606.ENSP00000441543
Q9NS85	9606.ENSP00000405388
P05062	9606.ENSP00000363988
Q9GZT4	9606.ENSP00000339435
O75879	9606.ENSP00000263985
Q93088	9606.ENSP00000274353
P28472	9606.ENSP00000308725
P35237	9606.ENSP00000484343
P16930	9606.ENSP00000385080
P14618	9606.ENSP00000320171
P24311	9606.ENSP00000417656
P49841	9606.ENSP00000324806
Q9Y3D2	9606.ENSP00000365693
P55196	9606.ENSP00000375960
Q9HBL8	9606.ENSP00000458762
Q9UNX9	9606.ENSP00000375756
P49069	9606.ENSP00000297156
P07355	9606.ENSP00000346032
Q9NQ25	9606.ENSP00000357022
O14646	9606.ENSP00000483667
P19784	9606.ENSP00000262506
P11926	9606.ENSP00000234111
P61626	9606.ENSP00000261267
Q16706	9606.ENSP00000261483
P00352	9606.ENSP00000297785
O95168	9606.ENSP00000184266
P19838	9606.ENSP00000226574
P07998	9606.ENSP00000381057
Q15596	9606.ENSP00000399968
Q15119	9606.ENSP00000420927
Q07699	9606.ENSP00000396915
O75493	9606.ENSP00000084798
P04040	9606.ENSP00000241052
P16410	9606.ENSP00000303939
P10153	9606.ENSP00000303276
Q9NZK7	9606.ENSP00000364257
Q7Z4W1	9606.ENSP00000303356
P16050	9606.ENSP00000458832
P06239	9606.ENSP00000337825
Q96IY4	9606.ENSP00000181383
P09884	9606.ENSP00000368349
P14555	9606.ENSP00000383364
P48448	9606.ENSP00000255084
Q6IA69	9606.ENSP00000326424
O43837	9606.ENSP00000370223
P49789	9606.ENSP00000417480
P43681	9606.ENSP00000359285
P30044	9606.ENSP00000265462
P30559	9606.ENSP00000324270
P23763	9606.ENSP00000379602
P18089	9606.ENSP00000480573
O14874	9606.ENSP00000378405
O15382	9606.ENSP00000322991
P01270	9606.ENSP00000282091
P03372	9606.ENSP00000405330
P00480	9606.ENSP00000039007
P16083	9606.ENSP00000369822
P09848	9606.ENSP00000264162
P19634	9606.ENSP00000263980
P12318	9606.ENSP00000271450
P50750	9606.ENSP00000362361
Q9NYX4	9606.ENSP00000252939
P48163	9606.ENSP00000358719
O60294	9606.ENSP00000307214
Q07001	9606.ENSP00000258385
P04271	9606.ENSP00000291700
Q02218	9606.ENSP00000222673
P12235	9606.ENSP00000281456
O94760	9606.ENSP00000284031
P18545	9606.ENSP00000328412
P61586	9606.ENSP00000400175
P10721	9606.ENSP00000288135
Q9Y289	9606.ENSP00000310208
Q9Y271	9606.ENSP00000478492
O75521	9606.ENSP00000369461
P28838	9606.ENSP00000226299
P32754	9606.ENSP00000289004
P80365	9606.ENSP00000316786
O60547	9606.ENSP00000370194
Q15648	9606.ENSP00000300651
Q16270	9606.ENSP00000295666
Q9UHC3	9606.ENSP00000297512
P35754	9606.ENSP00000369314
P15428	9606.ENSP00000296522
Q7RTV2	9606.ENSP00000360028
P34972	9606.ENSP00000363596
Q02127	9606.ENSP00000219240
P05155	9606.ENSP00000278407
P20645	9606.ENSP00000000412
O60706	9606.ENSP00000261200
Q9NZL9	9606.ENSP00000325425
P47989	9606.ENSP00000368727
Q5T4S7	9606.ENSP00000364403
Q00987	9606.ENSP00000258149
P47898	9606.ENSP00000287907
P11684	9606.ENSP00000278282
Q13443	9606.ENSP00000419446
P01589	9606.ENSP00000369293
P01579	9606.ENSP00000229135
Q13370	9606.ENSP00000282096
Q6YP21	9606.ENSP00000260508
P34059	9606.ENSP00000268695
P98160	9606.ENSP00000363827
O43451	9606.ENSP00000447378
Q2M3G0	9606.ENSP00000384881
Q96KC2	9606.ENSP00000366487
Q13639	9606.ENSP00000353915
O43252	9606.ENSP00000265174
O75306	9606.ENSP00000356972
Q86XF0	9606.ENSP00000377768
P09871	9606.ENSP00000385035
P03915	9606.ENSP00000354813
P30532	9606.ENSP00000299565
P34903	9606.ENSP00000359337
P26196	9606.ENSP00000478754
P06396	9606.ENSP00000362924
Q96QT4	9606.ENSP00000320239
P15104	9606.ENSP00000307900
P25092	9606.ENSP00000261170
P35558	9606.ENSP00000319814
O43678	9606.ENSP00000252102
P02461	9606.ENSP00000304408
O95573	9606.ENSP00000350012
P00492	9606.ENSP00000298556
Q701N4	9606.ENSP00000400041
O00142	9606.ENSP00000299697
O00748	9606.ENSP00000317842
Q13427	9606.ENSP00000260970
Q5XXA6	9606.ENSP00000347454
Q9UP95	9606.ENSP00000395983
P17540	9606.ENSP00000404203
P30041	9606.ENSP00000342026
O14672	9606.ENSP00000260408
P18283	9606.ENSP00000374265
Q96GR2	9606.ENSP00000258873
P36405	9606.ENSP00000260746
P30939	9606.ENSP00000322924
Q13131	9606.ENSP00000346148
P17612	9606.ENSP00000309591
P24462	9606.ENSP00000480571
P62937	9606.ENSP00000419425
O00408	9606.ENSP00000334910
Q96BI3	9606.ENSP00000358105
Q00975	9606.ENSP00000360423
P06126	9606.ENSP00000289429
Q9HCD5	9606.ENSP00000290231
P00519	9606.ENSP00000361423
Q9ULW8	9606.ENSP00000364609
P11717	9606.ENSP00000349437
P35354	9606.ENSP00000356438
Q6ZMR3	9606.ENSP00000280706
Q9Y251	9606.ENSP00000384262
Q9UBS5	9606.ENSP00000366233
P60880	9606.ENSP00000254976
P22234	9606.ENSP00000382595
Q9HCP0	9606.ENSP00000305777
P54687	9606.ENSP00000443459
P23458	9606.ENSP00000343204
Q13526	9606.ENSP00000247970
P35219	9606.ENSP00000314407
P55055	9606.ENSP00000253727
Q99519	9606.ENSP00000364782
Q99259	9606.ENSP00000350928
O15379	9606.ENSP00000302967
Q9UBM7	9606.ENSP00000347717
Q9NVH6	9606.ENSP00000335261
Q16850	9606.ENSP00000003100
P14550	9606.ENSP00000361140
Q14494	9606.ENSP00000354855
P28331	9606.ENSP00000392709
P37231	9606.ENSP00000287820
P15151	9606.ENSP00000402060
P30968	9606.ENSP00000226413
P42357	9606.ENSP00000261208
P05187	9606.ENSP00000375881
P19320	9606.ENSP00000294728
A8MPY1	9606.ENSP00000481321
Q96SW2	9606.ENSP00000231948
P10768	9606.ENSP00000367992
Q99497	9606.ENSP00000418770
P30085	9606.ENSP00000360939
Q9Y663	9606.ENSP00000284110
Q03405	9606.ENSP00000339328
Q14542	9606.ENSP00000350024
Q8WYK2	9606.ENSP00000267569
P09601	9606.ENSP00000216117
Q9NR97	9606.ENSP00000312082
P05108	9606.ENSP00000268053
P63316	9606.ENSP00000232975
Q9H306	9606.ENSP00000260229
P38484	9606.ENSP00000290219
P09237	9606.ENSP00000260227
P01906	9606.ENSP00000364076
O95169	9606.ENSP00000299166
P15121	9606.ENSP00000285930
Q92830	9606.ENSP00000225916
P31930	9606.ENSP00000203407
P03901	9606.ENSP00000354728
P02458	9606.ENSP00000369889
P13196	9606.ENSP00000378416
O60664	9606.ENSP00000221957
P28482	9606.ENSP00000215832
P61925	9606.ENSP00000379696
Q9UDX4	9606.ENSP00000215812
O60882	9606.ENSP00000260228
O76082	9606.ENSP00000245407
P10415	9606.ENSP00000381185
P33121	9606.ENSP00000422607
Q13393	9606.ENSP00000342793
O60669	9606.ENSP00000261187
O43424	9606.ENSP00000282020
P27986	9606.ENSP00000428056
P0DJI8	9606.ENSP00000384906
O15239	9606.ENSP00000360492
Q9UBQ6	9606.ENSP00000359132
P05113	9606.ENSP00000231454
Q96AE4	9606.ENSP00000359804
Q15116	9606.ENSP00000335062
Q16719	9606.ENSP00000264170
P07737	9606.ENSP00000225655
Q9NPB1	9606.ENSP00000373674
P29317	9606.ENSP00000351209
Q08462	9606.ENSP00000342952
Q8NBN7	9606.ENSP00000391121
P01024	9606.ENSP00000245907
P51787	9606.ENSP00000155840
Q16740	9606.ENSP00000245816
O14764	9606.ENSP00000367848
P12268	9606.ENSP00000321584
P23141	9606.ENSP00000353720
P28476	9606.ENSP00000386029
P22570	9606.ENSP00000416515
P11309	9606.ENSP00000362608
P62993	9606.ENSP00000376345
P23467	9606.ENSP00000334928
P00915	9606.ENSP00000430656
Q13200	9606.ENSP00000310129
Q6P093	9606.ENSP00000348911
O14717	9606.ENSP00000367030
P68363	9606.ENSP00000336799
P32019	9606.ENSP00000362115
P02792	9606.ENSP00000366525
O43526	9606.ENSP00000352035
Q6W5P4	9606.ENSP00000370950
P07510	9606.ENSP00000374145
P35398	9606.ENSP00000261523
Q03721	9606.ENSP00000358802
P02787	9606.ENSP00000385834
P00450	9606.ENSP00000264613
Q9GZP0	9606.ENSP00000376865
O75795	9606.ENSP00000320401
Q9HD40	9606.ENSP00000371535
O95864	9606.ENSP00000278840
O95831	9606.ENSP00000287295
Q15125	9606.ENSP00000417052
Q15274	9606.ENSP00000378782
P35916	9606.ENSP00000261937
Q9Y277	9606.ENSP00000428845
P43007	9606.ENSP00000234256
