SideEffect,Disease,Pvalue
neuropathy,Obsessive-Compulsive Disorder,0.00014091
gastroenteritis,Alzheimer Disease,0.000141542
stomatitis,Depressive Disorder,0.000142984
fatigue,"Rhinitis, Allergic, Perennial",0.000143493
purpura,Panic Disorder,0.000145294
diverticulitis,Alzheimer Disease,0.000145794
colitis,Bronchitis,0.000146165
phlebitis,Escherichia coli Infections,0.000146433
enterocolitis,Rickettsia Infections,0.000147482
papilledema,Rheumatic Diseases,0.000147482
pseudotumor cerebri,Rheumatic Diseases,0.000147482
uveitis,"Osteoporosis, Postmenopausal",0.000147482
uveitis,"Paget Disease, Extramammary",0.000147482
hypoventilation,"Pain, Intractable",0.000147482
Sinusitis,Obsessive-Compulsive Disorder,0.000147798
urinary retention,Attention Deficit Disorder with Hyperactivity,0.00014798
folliculitis,Dermatitis,0.000148742
urinary incontinence,Alzheimer Disease,0.000149071
bronchospasm,Angina Pectoris,0.000149388
myocardial ischemia,Breast Neoplasms,0.000149425
apraxia,"Epilepsies, Partial",0.000149536
contracture,"Epilepsies, Partial",0.000149536
abnormal electroencephalogram,Panic Disorder,0.000149536
weakness,Edema,0.000149563
cyst,Alzheimer Disease,0.000150239
glaucoma,Asthma,0.00015112
myasthenia gravis,Escherichia coli Infections,0.00015172
salivary gland enlargement,Depressive Disorder,0.00015206
vaginitis,Pseudomonas Infections,0.000152511
pneumonia,Bipolar Disorder,0.000154931
stomatitis,Bipolar Disorder,0.000154931
gingivitis,Depressive Disorder,0.000155416
sleep disorder,Obsessive-Compulsive Disorder,0.000156104
bradycardia,"Tachycardia, Ventricular",0.000156327
fibrosis,Testicular Neoplasms,0.000156593
hypothyroidism,Panic Disorder,0.000158033
cataract,Hypercholesterolemia,0.000158541
bilirubinemia,Acquired Immunodeficiency Syndrome,0.000160165
tachycardia,"Skin Diseases, Bacterial",0.000160179
skin atrophy,Asthma,0.000160545
Dyspepsia,Bipolar Disorder,0.000160612
infection,Gonorrhea,0.000160857
infection,"Pneumonia, Bacterial",0.000160857
dysphagia,Psychotic Disorders,0.000161029
impotence,Panic Disorder,0.000161281
ulcerative colitis,Osteoarthritis,0.000161724
weight loss,Depressive Disorder,0.000163098
priapism,Dementia,0.000164129
erythema multiforme,"Bone Diseases, Infectious",0.000164207
leukopenia,Soft Tissue Infections,0.000165235
tremor,Anxiety Disorders,0.000165541
tremor,"Epilepsies, Partial",0.000165541
interstitial nephritis,Streptococcal Infections,0.000165616
petechiae,Attention Deficit Disorder with Hyperactivity,0.000165807
hemolytic anemia,Staphylococcal Infections,0.000166359
photophobia,"Glaucoma, Open-Angle",0.000166494
neuropathy,Ovarian Neoplasms,0.000166668
hemolytic anemia,Otitis Media,0.000167144
ulcer,Breast Neoplasms,0.000167551
dry mouth,Bipolar Disorder,0.000167707
heartburn,Inflammation,0.00016796
hyperuricemia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.000169142
heart block,"Tachycardia, Supraventricular",0.000169462
hemolytic anemia,Fever,0.000170264
interstitial nephritis,"Arthritis, Juvenile Rheumatoid",0.000170284
interstitial nephritis,Zollinger-Ellison Syndrome,0.000170284
glossitis,Salmonella Infections,0.000170468
fibrosis,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.000171828
hypercholesterolemia,Depressive Disorder,0.00017336
fever,"Diabetes Mellitus, Type 2",0.000174224
testicle pain,Phobic Disorders,0.000174497
ureteral obstruction,Waldenstrom Macroglobulinemia,0.000174497
cerebral thrombosis,Endometrial Hyperplasia,0.000174497
cerebral thrombosis,Uterine Hemorrhage,0.000174497
interstitial nephritis,Inflammation,0.000174557
psychosis,Attention Deficit Disorder with Hyperactivity,0.000176887
hirsutism,Bipolar Disorder,0.000177167
myasthenia gravis,Staphylococcal Infections,0.000177167
pruritus ani,Staphylococcal Infections,0.000177167
serum sickness,Chlamydia Infections,0.000178271
serum sickness,Sinusitis,0.000178271
pseudomembranous colitis,Chlamydia Infections,0.000178271
interstitial nephritis,Klebsiella Infections,0.000178437
Diaper rash,Bronchitis,0.000178955
metrorrhagia,Alzheimer Disease,0.000180057
fungal infection,Alzheimer Disease,0.000180057
hyperpigmentation,Ovarian Neoplasms,0.000180521
aphasia,Autistic Disorder,0.000180542
fecal incontinence,Cytomegalovirus Retinitis,0.000180542
paralytic ileus,Enuresis,0.000180542
diplopia,Bipolar Disorder,0.000181026
anemia,Osteoarthritis,0.000181152
sick sinus syndrome,Atrial Fibrillation,0.000181823
ulcerative colitis,Dysmenorrhea,0.000183086
ulcerative colitis,Zollinger-Ellison Syndrome,0.000183086
esophageal stricture,Helicobacter Infections,0.000183086
pulmonary hypertension,Obsessive-Compulsive Disorder,0.000183086
hallucinations,Dysmenorrhea,0.000183328
hallucinations,Obsessive-Compulsive Disorder,0.000183328
bradycardia,Obsessive-Compulsive Disorder,0.000183328
memory loss,Hypercholesterolemia,0.000184091
ESR increased,Diabetic Nephropathies,0.000184183
ESR increased,"Ventricular Dysfunction, Left",0.000184183
ischemic colitis,"Tachycardia, Supraventricular",0.000184183
ischemic colitis,"Tachycardia, Ventricular",0.000184183
peripheral edema,Bipolar Disorder,0.00018422
bradycardia,Myocardial Infarction,0.000184417
heart failure,Myocardial Infarction,0.000184846
lupus,Coronary Artery Disease,0.000185454
lupus,Hyperlipoproteinemias,0.000185454
lupus,Hypertriglyceridemia,0.000185454
spontaneous abortion,Amenorrhea,0.0001863
CMV infection,Psoriasis,0.0001863
Diaper rash,Tonsillitis,0.0001863
fasciitis,Bursitis,0.0001863
renal papillary necrosis,Bursitis,0.0001863
melasma,Amenorrhea,0.0001863
ovarian cancer,Amenorrhea,0.0001863
weakness,Depressive Disorder,0.000188125
asthma,Osteoarthritis,0.000188242
Stevens - Johnson syndrome,Bronchitis,0.000188675
confusion,Bipolar Disorder,0.000190737
photosensitivity,Coronary Artery Disease,0.00019125
photosensitivity,Hyperlipoproteinemias,0.00019125
photosensitivity,Hypertriglyceridemia,0.00019125
photosensitivity,Obsessive-Compulsive Disorder,0.00019125
pulmonary fibrosis,Breast Neoplasms,0.000191772
acidosis,Acquired Immunodeficiency Syndrome,0.000193465
photosensitivity,Edema,0.000197547
gastric ulcer,Obsessive-Compulsive Disorder,0.000201068
photosensitivity,Diabetic Nephropathies,0.000201288
photosensitivity,"Ventricular Dysfunction, Left",0.000201288
skin ulcer,Bipolar Disorder,0.000201991
watery eyes,"Glaucoma, Open-Angle",0.000203682
bursitis,Bipolar Disorder,0.000205798
urinary urgency,Bipolar Disorder,0.000205798
epistaxis,Bipolar Disorder,0.00020632
vertigo,Osteoarthritis,0.000206343
enterocolitis,Acne Vulgaris,0.000207968
sepsis,Breast Neoplasms,0.000208989
hyperkalemia,Hypertension,0.000209665
glossitis,Helicobacter Infections,0.000211676
hypokalemia,Obsessive-Compulsive Disorder,0.000212756
phlebitis,Streptococcal Infections,0.000213611
glaucoma,Depressive Disorder,0.000214566
sleep disorder,Depressive Disorder,0.000214566
anaphylaxis,Helicobacter Infections,0.000214862
bundle branch block,Autistic Disorder,0.000216577
galactorrhea,Dementia,0.000216577
galactorrhea,Enuresis,0.000216577
fasciitis,"Arthritis, Rheumatoid",0.000216715
phlebitis,Proteus Infections,0.000217736
allergic reaction,Heart Failure,0.000219884
gynecomastia,Gastroesophageal Reflux,0.000220108
vaginitis,Gonorrhea,0.000220349
contact dermatitis,Facial Dermatoses,0.000220701
contact dermatitis,Foot Dermatoses,0.000220701
contact dermatitis,Hand Dermatoses,0.000220701
contact dermatitis,Leg Dermatoses,0.000220701
contact dermatitis,Scalp Dermatoses,0.000220701
congestive heart failure,Inflammation,0.000222677
paraparesis,Rheumatic Diseases,0.000223295
lymphocytic leukemia,Testicular Neoplasms,0.000224354
ovarian cyst,Endometrial Hyperplasia,0.000224354
ovarian cyst,Uterine Hemorrhage,0.000224354
multifocal atrial tachycardia,Bronchial Spasm,0.000224354
postural hypotension,Parkinson Disease,0.000224588
dyskinesia,Panic Disorder,0.000224756
shock,Obsessive-Compulsive Disorder,0.000225116
lymphadenopathy,"Arthritis, Juvenile Rheumatoid",0.000225116
neuropathy,Breast Neoplasms,0.000226372
tremor,Psychotic Disorders,0.000227236
sepsis,"Spondylitis, Ankylosing",0.000228028
rectal hemorrhage,"Spondylitis, Ankylosing",0.000228028
pyoderma,Inflammation,0.000228179
paraparesis,Inflammation,0.000228179
atopic dermatitis,Facial Dermatoses,0.000230477
atopic dermatitis,Foot Dermatoses,0.000230477
atopic dermatitis,Hand Dermatoses,0.000230477
atopic dermatitis,Leg Dermatoses,0.000230477
atopic dermatitis,Scalp Dermatoses,0.000230477
neutropenia,"Bone Diseases, Infectious",0.000230689
neutropenia,Helicobacter Infections,0.000230689
agranulocytosis,Psychotic Disorders,0.000230775
pancytopenia,Staphylococcal Infections,0.00023231
cardiac arrest,Schizophrenia,0.000234071
hypersensitivity,Urinary Tract Infections,0.000236422
electrolyte imbalance,Nephrotic Syndrome,0.000238084
mental depression,Ventricular Fibrillation,0.000238278
vomiting,Urinary Tract Infections,0.000239454
muscle weakness,Hematologic Diseases,0.000241441
muscle weakness,Neoplasms,0.000241441
osteoporosis,Depressive Disorder,0.000241505
arrhythmia,Pain,0.000241654
erythema multiforme,"Pneumonia, Bacterial",0.000242044
acute leukemia,Prostatic Neoplasms,0.000242806
aplastic anemia,Sepsis,0.000243497
eosinophilia,Bacteroides Infections,0.000243785
infection,Inflammation,0.000244767
hyperthyroidism,Depressive Disorder,0.000247654
moniliasis,Sinusitis,0.000249237
alopecia,Testicular Neoplasms,0.000249711
breast pain,Depressive Disorder,0.000250696
acute renal failure,Multiple Myeloma,0.000250915
gastrointestinal hemorrhage,Dysmenorrhea,0.000251607
gastrointestinal hemorrhage,"Arthritis, Rheumatoid",0.000254498
duodenitis,Gastroesophageal Reflux,0.000254671
confusion,Pain,0.000254959
hearing loss,"Spondylitis, Ankylosing",0.000255438
interstitial nephritis,Haemophilus Infections,0.000257018
osteoporosis,Adrenal Insufficiency,0.000257113
osteoporosis,Hypersensitivity,0.000257113
thrombocytopenia,Streptococcal Infections,0.000257144
pathological fracture,Rheumatic Diseases,0.000260419
hypernatremia,Rheumatic Diseases,0.000260419
lymphoma,"Epilepsy, Tonic-Clonic",0.000260419
meningitis,"Spondylitis, Ankylosing",0.000260419
ischemic colitis,Ventricular Fibrillation,0.000261479
cholecystitis,Obsessive-Compulsive Disorder,0.000261511
aplastic anemia,"Arthritis, Juvenile Rheumatoid",0.000265781
nausea,Facial Dermatoses,0.000267197
nausea,Foot Dermatoses,0.000267197
nausea,Hand Dermatoses,0.000267197
nausea,Leg Dermatoses,0.000267197
nausea,Scalp Dermatoses,0.000267197
cystitis,Osteoarthritis,0.000271518
esophagitis,Osteoarthritis,0.000271518
fibrosis,Breast Neoplasms,0.000271585
lymphocytosis,Klebsiella Infections,0.000271585
infection,Bipolar Disorder,0.000272627
abnormal gait,Alzheimer Disease,0.000273654
liver fatty,Acquired Immunodeficiency Syndrome,0.000273767
delirium,Bipolar Disorder,0.000275133
interstitial nephritis,Helicobacter Infections,0.000275133
rhinitis,Obsessive-Compulsive Disorder,0.000276779
increased salivation,Obsessive-Compulsive Disorder,0.000277913
increased salivation,Tourette Syndrome,0.000277913
sore throat,Hypertension,0.000279117
gallbladder disease,Amenorrhea,0.000279118
impetigo,"Dermatitis, Atopic",0.000279118
orchitis,Autistic Disorder,0.000279118
paraplegia,Adrenal Insufficiency,0.000279118
paraplegia,Hypersensitivity,0.000279118
septic shock,Multiple Myeloma,0.000279118
hairy tongue,Osteomyelitis,0.000279118
hairy tongue,Wound Infection,0.000279118
generalized seizures,"Leukemia, Lymphocytic, Chronic, B-Cell",0.000279118
sarcoma,Cytomegalovirus Retinitis,0.000279118
hemorrhoids,Autistic Disorder,0.000279151
renal failure,Diabetic Nephropathies,0.000279252
renal failure,"Ventricular Dysfunction, Left",0.000279252
headache,"Endocarditis, Bacterial",0.000279607
bruxism,Eating Disorders,0.000280442
reflux esophagitis,Parkinson Disease,0.000280442
hyperprolactinemia,Eating Disorders,0.000280442
myelodysplastic syndrome,Gastrointestinal Neoplasms,0.000280442
neuromas,Parkinson Disease,0.000280442
constrictive pericarditis,Parkinson Disease,0.000280442
intervertebral disc protrusion,Parkinson Disease,0.000280442
phlebitis,Neutropenia,0.0002843
agitation,Nephrotic Syndrome,0.000285553
tinnitus,Bipolar Disorder,0.000285708
leukemia,Multiple Myeloma,0.000286932
skin atrophy,Pruritus,0.000286932
conjunctivitis,Bipolar Disorder,0.00028702
dysmenorrhea,Attention Deficit Disorder with Hyperactivity,0.000289117
kidney calculus,Depressive Disorder,0.000289203
neuralgia,Depressive Disorder,0.000289203
vaginal moniliasis,Surgical Wound Infection,0.000289657
constitutional symptoms,"Leukemia, Lymphocytic, Chronic, B-Cell",0.000289657
hairy tongue,Urinary Tract Infections,0.000289657
contracture,Bipolar Disorder,0.000289813
tinnitus,Diabetic Nephropathies,0.00029196
tinnitus,"Ventricular Dysfunction, Left",0.00029196
pulmonary fibrosis,"Lymphoma, Non-Hodgkin",0.000292773
dermatitis,Facial Dermatoses,0.000293107
dermatitis,Foot Dermatoses,0.000293107
dermatitis,Hand Dermatoses,0.000293107
dermatitis,Leg Dermatoses,0.000293107
dermatitis,Scalp Dermatoses,0.000293107
stomatitis,Melanoma,0.000293107
stomatitis,Multiple Myeloma,0.000293107
hemorrhoids,Depressive Disorder,0.00029535
sexual dysfunction,"Stress Disorders, Post-Traumatic",0.000295526
hyperacusis,"Epilepsy, Tonic-Clonic",0.000295526
hyperacusis,"Stress Disorders, Post-Traumatic",0.000295526
tendinitis,"Conjunctivitis, Bacterial",0.000295526
tendinitis,Prostatitis,0.000295526
arthritis,Coronary Artery Disease,0.000296101
arthritis,Hyperlipoproteinemias,0.000296101
arthritis,Hypertriglyceridemia,0.000296101
grand mal,Obsessive-Compulsive Disorder,0.000296265
fecal incontinence,Obsessive-Compulsive Disorder,0.000296265
leukopenia,Proteus Infections,0.000298991
congestive heart failure,"Tachycardia, Supraventricular",0.000300951
eructation,"Spondylitis, Ankylosing",0.000301094
AV block,"Tachycardia, Ventricular",0.000301879
leukopenia,Klebsiella Infections,0.000301915
cold extremities,"Tachycardia, Ventricular",0.000302583
pancreatitis,"Arthritis, Rheumatoid",0.000302803
erythema multiforme,Pharyngitis,0.000305406
dry mouth,Hypertension,0.000306283
pneumothorax,Status Epilepticus,0.000307148
weakness,Testicular Neoplasms,0.000307194
alopecia,Soft Tissue Infections,0.00031022
eye pain,"Glaucoma, Open-Angle",0.000311228
vaginal hemorrhage,Panic Disorder,0.000311525
hypothermia,Schizophrenia,0.000313269
colitis,"Bone Diseases, Infectious",0.000314041
vaginitis,Bipolar Disorder,0.000314041
eye pain,Bipolar Disorder,0.000314041
bruxism,Panic Disorder,0.000315316
hyperprolactinemia,Panic Disorder,0.000315316
adenitis,Attention Deficit Disorder with Hyperactivity,0.000315316
strabismus,"Epilepsies, Partial",0.000315316
Stevens - Johnson syndrome,Asthma,0.000316791
peripheral neuropathy,Urinary Bladder Neoplasms,0.000317593
drug eruption,Urticaria,0.000319354
hemiplegia,Bipolar Disorder,0.000319354
miliaria,"Rhinitis, Allergic, Perennial",0.000319354
otitis media,Alzheimer Disease,0.000319683
nephropathy,Surgical Wound Infection,0.000320012
neurosis,Panic Disorder,0.000321468
sexual dysfunction,Panic Disorder,0.000321468
fever,"Glaucoma, Open-Angle",0.000322205
cardiac arrest,"Tachycardia, Ventricular",0.000322841
deafness,Obsessive-Compulsive Disorder,0.000323641
abnormal vision,Bipolar Disorder,0.000325303
vaginal moniliasis,Abscess,0.000326934
constitutional symptoms,Esophageal Neoplasms,0.000326934
constitutional symptoms,Lymphoma,0.000326934
constitutional symptoms,Osteosarcoma,0.000326934
constitutional symptoms,Uterine Neoplasms,0.000326934
psoriasis,Autistic Disorder,0.000326934
purpura,Edema,0.000326993
hypertension,Diabetic Nephropathies,0.000330859
hypertension,"Ventricular Dysfunction, Left",0.000330859
blurred vision,Streptococcal Infections,0.000331758
phlebitis,Soft Tissue Infections,0.000333494
tooth caries,"Stress Disorders, Post-Traumatic",0.000333616
pyelonephritis,Depressive Disorder,0.000334404
malaise,Depressive Disorder,0.000334607
fecal impaction,Psychotic Disorders,0.000337512
somnambulism,Depressive Disorder,0.000337627
abnormal electroencephalogram,Depressive Disorder,0.000337627
lightheadedness,Angina Pectoris,0.000338342
lightheadedness,Myocardial Infarction,0.000338342
allergic alveolitis,Epididymitis,0.000342762
megaloblastic anemia,"Epilepsy, Temporal Lobe",0.000342762
ulcerative colitis,Photophobia,0.000342762
gangrene,Shock,0.000342762
pulmonary hypertension,Eating Disorders,0.000342762
nephrosis,Corneal Ulcer,0.000342762
nephrosis,Nocardia Infections,0.000342762
schizoaffective disorder,Bipolar Disorder,0.000342762
sensory disturbance,Colorectal Neoplasms,0.000342762
breast tenderness,Alopecia,0.000342762
breast tenderness,Endometrial Hyperplasia,0.000342762
breast tenderness,Uterine Hemorrhage,0.000342762
moniliasis,Gonorrhea,0.00034982
muscle cramps,Diabetic Nephropathies,0.000349898
muscle cramps,"Ventricular Dysfunction, Left",0.000349898
acute renal failure,Ovarian Neoplasms,0.000351199
sinus tachycardia,Bradycardia,0.000351719
diplopia,Depressive Disorder,0.000352264
serum sickness,Surgical Wound Infection,0.000352639
pseudomembranous colitis,Neutropenia,0.000352639
cholelithiasis,Esophagitis,0.000352745
breast enlargement,Enuresis,0.000352745
hypothyroidism,Autistic Disorder,0.000352745
SIADH,Autistic Disorder,0.000352745
blindness,Cytomegalovirus Retinitis,0.000352745
interstitial nephritis,Gonorrhea,0.000353493
Stevens - Johnson syndrome,Sinusitis,0.000353674
drug eruption,"Rhinitis, Allergic, Perennial",0.000356794
enterocolitis,Gonorrhea,0.000356794
tachycardia,Attention Deficit Disorder with Hyperactivity,0.00035928
Diaper rash,"Pneumonia, Bacterial",0.00036037
anaphylactoid purpura,Gonorrhea,0.00036037
ascites,Breast Neoplasms,0.00036073
glycosuria,Bipolar Disorder,0.000368178
amenorrhea,Pancreatic Neoplasms,0.000371199
skin ulcer,Psoriasis,0.000371199
anaphylactoid purpura,Mycoplasma Infections,0.000371279
anaphylactoid purpura,Rickettsia Infections,0.000371279
spinal cord disease,Stomach Neoplasms,0.000371279
prostatic hypertrophy,Alzheimer Disease,0.000371279
dry mouth,Attention Deficit Disorder with Hyperactivity,0.000373651
amenorrhea,Ovarian Neoplasms,0.00037377
peripheral vascular disorder,Obsessive-Compulsive Disorder,0.000375738
neck rigidity,Obsessive-Compulsive Disorder,0.000375738
galactorrhea,Tourette Syndrome,0.000375738
neutropenia,Gonorrhea,0.000377161
agranulocytosis,"Arthritis, Juvenile Rheumatoid",0.000378479
thrombocytopenia,Soft Tissue Infections,0.00037959
gastroesophageal reflux,Autistic Disorder,0.000379879
serum sickness,Lyme Disease,0.000379879
serum sickness,Meningococcal Infections,0.000379879
serum sickness,Osteomyelitis,0.000379879
serum sickness,Tonsillitis,0.000379879
pseudomembranous colitis,Abscess,0.000379879
pseudomembranous colitis,Meningococcal Infections,0.000379879
pseudomembranous colitis,Osteomyelitis,0.000379879
pseudomembranous colitis,"Pregnancy Complications, Infectious",0.000379879
pseudomembranous colitis,Tonsillitis,0.000379879
weight loss,Alzheimer Disease,0.000380658
weight loss,"Epilepsies, Partial",0.000381239
visual field defect,Panic Disorder,0.00038241
ureteral obstruction,Lung Neoplasms,0.000383828
ureteral obstruction,Prostatic Neoplasms,0.000383828
anorexia,Asthma,0.000385443
decreased libido,Hypertension,0.000385877
hyperpigmentation,"Lymphoma, Non-Hodgkin",0.000387285
neutropenia,Melanoma,0.000388583
neutropenia,Pharyngitis,0.000388583
adrenal insufficiency,Adrenal Insufficiency,0.000390302
anisocoria,Obsessive-Compulsive Disorder,0.000390302
varicella,"Dermatitis, Atopic",0.000390302
Diabetic ketoacidosis,Autistic Disorder,0.000390302
esophageal stricture,Esophagitis,0.000390302
hypomenorrhea,Obsessive-Compulsive Disorder,0.000390302
retinal degeneration,Zollinger-Ellison Syndrome,0.000390302
Aseptic necrosis,Gastrointestinal Diseases,0.000390302
Aseptic necrosis,Respiratory Tract Diseases,0.000390302
nipple discharge,Amenorrhea,0.000390302
polyuria,"Spondylitis, Ankylosing",0.000390454
cataract,Graft vs Host Disease,0.000390454
cataract,Hematologic Diseases,0.000390454
cataract,Neoplasms,0.000390454
duodenitis,Helicobacter Infections,0.000390506
lymphocytosis,Bipolar Disorder,0.000390506
periodontal abscess,Bipolar Disorder,0.000390506
eczema,Schizophrenia,0.00039118
dehydration,Depressive Disorder,0.000391953
photophobia,"Epilepsies, Partial",0.000392061
hypotension,Depressive Disorder,0.00039215
sepsis,Osteoarthritis,0.000396538
mastitis,Obsessive-Compulsive Disorder,0.000397428
vaginal moniliasis,Bronchitis,0.000400837
decreased libido,Panic Disorder,0.000403329
eosinophilia,Gram-Positive Bacterial Infections,0.000404126
eosinophilia,Surgical Wound Infection,0.000404126
mouth ulceration,Bipolar Disorder,0.000404256
encephalopathy,Bipolar Disorder,0.000406483
anxiety,"Tachycardia, Ventricular",0.000407879
congestive heart failure,Angina Pectoris,0.000408142
congestive heart failure,Myocardial Infarction,0.000408142
abdominal cramps,Enuresis,0.00040837
abdominal cramps,Hypogonadism,0.00040837
menstrual disorder,Tobacco Use Disorder,0.00040837
hepatic necrosis,Status Asthmaticus,0.00040837
bullous pemphigus,Heart Failure,0.00040837
agranulocytosis,Nephrotic Syndrome,0.000409995
glossitis,"Spondylitis, Ankylosing",0.000410477
ulcer,Graft vs Host Disease,0.000410477
ulcer,Hematologic Diseases,0.000410477
ulcer,Neoplasms,0.000410477
corneal ulcer,Photophobia,0.000411315
exophthalmos,Addison Disease,0.000411315
exophthalmos,Autoimmune Diseases,0.000411315
exophthalmos,Collagen Diseases,0.000411315
exophthalmos,Eating Disorders,0.000411315
exophthalmos,Skin Diseases,0.000411315
seasonal allergic rhinitis,Actinomycosis,0.000411315
seasonal allergic rhinitis,Listeriosis,0.000411315
left bundle branch block,"Tachycardia, Supraventricular",0.000411315
lymphocytic leukemia,Lung Neoplasms,0.000411315
lymphocytic leukemia,Ovarian Neoplasms,0.000411315
breast cancer,Phobic Disorders,0.000411315
dysphasia,Colorectal Neoplasms,0.000411315
anemia,Asthma,0.00041406
vertigo,Diabetic Nephropathies,0.000418726
vertigo,"Ventricular Dysfunction, Left",0.000418726
pulmonary fibrosis,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.000419202
pulmonary fibrosis,Mycosis Fungoides,0.000419202
spinal cord disease,Breast Neoplasms,0.000419202
fibrosis,Psoriasis,0.000419289
fibrosis,Stomach Neoplasms,0.000419289
periodontal abscess,Alzheimer Disease,0.000419289
venous thrombosis,Pancreatic Neoplasms,0.000419289
thrombocytopenia,"Glaucoma, Open-Angle",0.000419697
polyuria,"Epilepsies, Partial",0.000421251
constipation,"Glaucoma, Open-Angle",0.000421438
abdominal pain,Acquired Immunodeficiency Syndrome,0.000421485
dyskinesia,Parkinson Disease,0.000423547
flushing,"Angina Pectoris, Variant",0.000424112
Pharyngitis,Obsessive-Compulsive Disorder,0.000424112
herpes,Multiple Myeloma,0.000425358
pheochromocytoma,Schizophrenia,0.000425358
pancytopenia,"Arthritis, Juvenile Rheumatoid",0.000425425
pancytopenia,Zollinger-Ellison Syndrome,0.000425425
proteinuria,Inflammation,0.00042599
weakness,Ventricular Fibrillation,0.000426399
peripheral edema,Diabetic Nephropathies,0.000427492
peripheral edema,"Ventricular Dysfunction, Left",0.000427492
cold extremities,Ventricular Fibrillation,0.000428327
tumor,"Carcinoma, Non-Small-Cell Lung",0.000428606
pulmonary hypertension,Panic Disorder,0.000430079
serotonin syndrome,Panic Disorder,0.000430079
drug withdrawal,Bipolar Disorder,0.000430079
blepharitis,Autistic Disorder,0.000438251
dyskinesia,Autistic Disorder,0.000438251
hyperlipidemia,Autistic Disorder,0.000438251
ptosis,"Epilepsies, Partial",0.000439513
nausea,Inflammation,0.00044327
bruxism,Attention Deficit Disorder with Hyperactivity,0.000446239
bruxism,Parkinson Disease,0.000446239
pulmonary edema,"Tachycardia, Supraventricular",0.000448641
toxic epidermal necrolysis,Pseudomonas Infections,0.000449945
gastritis,Alzheimer Disease,0.000450343
lupus,Hypercholesterolemia,0.000455025
impotence,Diabetic Nephropathies,0.000455962
impotence,"Ventricular Dysfunction, Left",0.000455962
melena,Fever,0.000456509
hepatic failure,Fever,0.000456509
lymphocytosis,"Pneumonia, Bacterial",0.000457744
Stevens - Johnson syndrome,Helicobacter Infections,0.000459033
bradycardia,Bipolar Disorder,0.000459033
cystitis,Depressive Disorder,0.000459856
eye pain,Depressive Disorder,0.000459856
leukopenia,Staphylococcal Infections,0.000459934
vaginal moniliasis,"Bone Diseases, Infectious",0.000460236
myasthenia gravis,Urinary Tract Infections,0.000460236
psoriasis,Bipolar Disorder,0.000460236
asthenia,Diabetic Nephropathies,0.000462892
asthenia,"Ventricular Dysfunction, Left",0.000462892
fatigue,Urinary Tract Infections,0.000462987
flank pain,Acquired Immunodeficiency Syndrome,0.000463736
gout,Obsessive-Compulsive Disorder,0.000463865
sepsis,"Arthritis, Juvenile Rheumatoid",0.000463865
sepsis,Dysmenorrhea,0.000463865
rectal hemorrhage,Dysmenorrhea,0.000463865
abnormal gait,Panic Disorder,0.00046516
motion sickness,Depressive Disorder,0.000466929
alcohol abuse,Depressive Disorder,0.000466929
hypomagnesemia,Urinary Bladder Neoplasms,0.000466929
heartburn,Bursitis,0.000469554
peptic ulcer,Adrenal Insufficiency,0.000469554
peptic ulcer,Hypersensitivity,0.000469554
osteoporosis,Obsessive-Compulsive Disorder,0.00046974
elevated liver enzymes,Dysmenorrhea,0.00046974
decreased libido,Obsessive-Compulsive Disorder,0.000469855
embolism,Breast Neoplasms,0.000471437
oral moniliasis,Escherichia coli Infections,0.0004722
abnormal gait,Depressive Disorder,0.000473024
flushing,"Tachycardia, Supraventricular",0.000476463
arthralgia,Pain,0.000477756
photosensitivity,Bipolar Disorder,0.00048276
ascites,Pancreatic Neoplasms,0.000484172
otitis externa,Alzheimer Disease,0.000484172
erythema multiforme,Fever,0.000484607
sexual dysfunction,Hypertension,0.000485102
memory loss,Hypertension,0.000485102
epistaxis,Diabetic Nephropathies,0.00048607
epistaxis,"Ventricular Dysfunction, Left",0.00048607
alkalosis,Addison Disease,0.000486099
alkalosis,Autoimmune Diseases,0.000486099
alkalosis,Collagen Diseases,0.000486099
alkalosis,Skin Diseases,0.000486099
COPD,Pulmonary Emphysema,0.000486099
gum hemorrhage,Depressive Disorder,0.000487425
flatulence,Coronary Artery Disease,0.000492235
flatulence,Hyperlipoproteinemias,0.000492235
flatulence,Hypertriglyceridemia,0.000492235
flatulence,Obsessive-Compulsive Disorder,0.000492235
jaundice,Depressive Disorder,0.0004929
muscle cramps,"Angina Pectoris, Variant",0.000493455
muscle cramps,Coronary Artery Disease,0.000493455
muscle cramps,Hyperlipoproteinemias,0.000493455
muscle cramps,Hypertriglyceridemia,0.000493455
phlebitis,"Skin Diseases, Bacterial",0.000493791
bradycardia,Hypertension,0.000494505
folliculitis,Acquired Immunodeficiency Syndrome,0.00049745
hypocalcemia,Cytomegalovirus Retinitis,0.000502314
metrorrhagia,Autistic Disorder,0.000502314
ulcerative stomatitis,Esophagitis,0.000502314
bradycardia,Ventricular Fibrillation,0.000503211
photosensitivity,"Arthritis, Rheumatoid",0.000506133
photosensitivity,Psychotic Disorders,0.000506133
nasal congestion,Psychotic Disorders,0.000507827
nasal congestion,Schizophrenia,0.000507827
leukocytosis,Depressive Disorder,0.000507944
oral moniliasis,Neutropenia,0.000507972
stomatitis,Hodgkin Disease,0.000508293
striae,Pruritus,0.00050836
