Q9UI32	9606.ENSP00000310447
P12318	9606.ENSP00000271450
P31994	9606.ENSP00000351497
P68133	9606.ENSP00000355645
P31785	9606.ENSP00000363318
P05452	9606.ENSP00000296130
P05787	9606.ENSP00000449404
P27797	9606.ENSP00000320866
Q07954	9606.ENSP00000243077
P05154	9606.ENSP00000333203
P14543	9606.ENSP00000264187
P13727	9606.ENSP00000312134
P32927	9606.ENSP00000384053
P34741	9606.ENSP00000307046
O14832	9606.ENSP00000263038
P07307	9606.ENSP00000347140
P49257	9606.ENSP00000251047
Q8NI22	9606.ENSP00000386651
P01906	9606.ENSP00000364076
P06400	9606.ENSP00000267163
P16519	9606.ENSP00000262545
P29120	9606.ENSP00000308024
Q16270	9606.ENSP00000295666
Q96C24	9606.ENSP00000362080
P05981	9606.ENSP00000262626
O14786	9606.ENSP00000265371
P02461	9606.ENSP00000304408
P11362	9606.ENSP00000393312
P22607	9606.ENSP00000339824
O95838	9606.ENSP00000262441
P07711	9606.ENSP00000345344
P23763	9606.ENSP00000379602
P63027	9606.ENSP00000314214
Q8N9I0	9606.ENSP00000356236
Q01362	9606.ENSP00000278888
P02458	9606.ENSP00000369889
P08123	9606.ENSP00000297268
P35237	9606.ENSP00000484343
P02735	9606.ENSP00000384906
P02735	9606.ENSP00000436126
Q96LZ3	9606.ENSP00000363939
P35346	9606.ENSP00000293897
P48147	9606.ENSP00000358106
Q6P996	9606.ENSP00000379691
Q6YP21	9606.ENSP00000260508
Q8IUZ5	9606.ENSP00000310978
Q96GA7	9606.ENSP00000385790
O14939	9606.ENSP00000263088
P06276	9606.ENSP00000264381
Q13393	9606.ENSP00000342793
P09210	9606.ENSP00000420168
O00469	9606.ENSP00000282903
P19971	9606.ENSP00000379038
O60568	9606.ENSP00000223127
P27338	9606.ENSP00000367309
O75936	9606.ENSP00000263182
P21397	9606.ENSP00000340684
Q32P28	9606.ENSP00000236040
Q6N063	9606.ENSP00000380544
P47989	9606.ENSP00000368727
P50750	9606.ENSP00000362361
Q96KS0	9606.ENSP00000469686
Q00534	9606.ENSP00000265734
P00813	9606.ENSP00000361965
P11802	9606.ENSP00000257904
Q9GZT9	9606.ENSP00000355601
P48544	9606.ENSP00000433295
Q9H6Z9	9606.ENSP00000250457
Q9NVH6	9606.ENSP00000335261
P49336	9606.ENSP00000370938
P22234	9606.ENSP00000382595
Q00975	9606.ENSP00000360423
P27708	9606.ENSP00000264705
Q8N142	9606.ENSP00000333019
Q96HD9	9606.ENSP00000255082
O95190	9606.ENSP00000463013
Q9UMX2	9606.ENSP00000313922
P15104	9606.ENSP00000307900
Q6IA69	9606.ENSP00000326424
O15460	9606.ENSP00000384999
P53597	9606.ENSP00000377446
Q9BYC2	9606.ENSP00000361914
Q9P2R7	9606.ENSP00000367923
Q9UBX3	9606.ENSP00000461324
O60512	9606.ENSP00000480428
Q9UJ70	9606.ENSP00000477639
Q9UK23	9606.ENSP00000310998
O43424	9606.ENSP00000282020
P48664	9606.ENSP00000221742
Q07075	9606.ENSP00000265162
Q8N159	9606.ENSP00000293404
Q9ULA0	9606.ENSP00000273075
Q9ULK0	9606.ENSP00000330148
O14880	9606.ENSP00000356864
P08263	9606.ENSP00000335620
P10620	9606.ENSP00000379512
P35754	9606.ENSP00000369314
Q96SL4	9606.ENSP00000354677
Q99735	9606.ENSP00000482639
Q9NS18	9606.ENSP00000356410
Q16760	9606.ENSP00000264057
Q9NXE4	9606.ENSP00000386531
P23434	9606.ENSP00000319531
Q14032	9606.ENSP00000259407
Q6IB77	9606.ENSP00000484592
Q9P0Z9	9606.ENSP00000317721
Q9Y345	9606.ENSP00000434364
Q5JTZ9	9606.ENSP00000244571
P23743	9606.ENSP00000328405
P62714	9606.ENSP00000221138
P67775	9606.ENSP00000418447
O43447	9606.ENSP00000306614
P23284	9606.ENSP00000300026
P45877	9606.ENSP00000303057
Q13427	9606.ENSP00000260970
O75899	9606.ENSP00000259455
P36544	9606.ENSP00000407546
Q14832	9606.ENSP00000355316
P18505	9606.ENSP00000295454
P28472	9606.ENSP00000308725
P47870	9606.ENSP00000274547
P20618	9606.ENSP00000262193
P28074	9606.ENSP00000355325
P49721	9606.ENSP00000362334
Q08289	9606.ENSP00000320025
Q13698	9606.ENSP00000355192
O00305	9606.ENSP00000438949
O60840	9606.ENSP00000365441
P54284	9606.ENSP00000301050
Q01668	9606.ENSP00000288139
Q13547	9606.ENSP00000362649
Q92769	9606.ENSP00000430432
O15379	9606.ENSP00000302967
Q9UBN7	9606.ENSP00000334061
P49356	9606.ENSP00000246166
P49354	9606.ENSP00000303423
Q16665	9606.ENSP00000437955
P43115	9606.ENSP00000349003
P41146	9606.ENSP00000336764
P42336	9606.ENSP00000263967
O00459	9606.ENSP00000222254
Q92569	9606.ENSP00000262741
P42345	9606.ENSP00000354558
Q00653	9606.ENSP00000358983
P00441	9606.ENSP00000270142
P09958	9606.ENSP00000483552
O43525	9606.ENSP00000373648
P56696	9606.ENSP00000262916
Q9NR82	9606.ENSP00000345055
P41231	9606.ENSP00000310305
O00329	9606.ENSP00000366563
O60674	9606.ENSP00000371067
Q13093	9606.ENSP00000274793
P27695	9606.ENSP00000216714
Q05655	9606.ENSP00000378217
P49146	9606.ENSP00000332591
P06280	9606.ENSP00000218516
Q8NFA2	9606.ENSP00000380450
Q02880	9606.ENSP00000396704
P17342	9606.ENSP00000265074
P09467	9606.ENSP00000408025
Q9H228	9606.ENSP00000328472
P05177	9606.ENSP00000342007
Q16790	9606.ENSP00000367608
Q15842	9606.ENSP00000240662
O00206	9606.ENSP00000363089
P32320	9606.ENSP00000364212
P31350	9606.ENSP00000353770
P54760	9606.ENSP00000350896
Q16831	9606.ENSP00000330032
P08729	9606.ENSP00000329243
P07237	9606.ENSP00000327801
P21796	9606.ENSP00000265333
P45880	9606.ENSP00000361635
Q9Y277	9606.ENSP00000428845
Q9UNI1	9606.ENSP00000293636
P26196	9606.ENSP00000478754
Q9NWT6	9606.ENSP00000299163
P42768	9606.ENSP00000365891
O14717	9606.ENSP00000367030
Q8WTS6	9606.ENSP00000274031
P53674	9606.ENSP00000215939
Q13363	9606.ENSP00000290921
P08684	9606.ENSP00000337915
P04746	9606.ENSP00000481450
O14936	9606.ENSP00000367408
Q9NQX3	9606.ENSP00000417901
Q99418	9606.ENSP00000408236
Q92831	9606.ENSP00000263754
P23141	9606.ENSP00000353720
P09012	9606.ENSP00000243563
P31949	9606.ENSP00000271638
P53778	9606.ENSP00000215659
Q9BY49	9606.ENSP00000265322
P11712	9606.ENSP00000260682
P27707	9606.ENSP00000286648
O00244	9606.ENSP00000430598
P54278	9606.ENSP00000265849
Q9BZ11	9606.ENSP00000348912
P02749	9606.ENSP00000205948
Q9BZR6	9606.ENSP00000043402
Q9NNX6	9606.ENSP00000315477
P25311	9606.ENSP00000292401
P08887	9606.ENSP00000357470
P15529	9606.ENSP00000313875
P42658	9606.ENSP00000367001
Q9NPG2	9606.ENSP00000298352
P80075	9606.ENSP00000378118
Q96CD2	9606.ENSP00000343190
P16152	9606.ENSP00000290349
Q96LB9	9606.ENSP00000290722
Q05397	9606.ENSP00000341189
O43252	9606.ENSP00000265174
P33176	9606.ENSP00000307078
P15531	9606.ENSP00000337060
Q03518	9606.ENSP00000346206
Q12756	9606.ENSP00000438388
O76083	9606.ENSP00000291539
P49763	9606.ENSP00000451040
Q96FI4	9606.ENSP00000347170
Q14541	9606.ENSP00000379701
O43617	9606.ENSP00000480332
P18509	9606.ENSP00000462647
P12429	9606.ENSP00000264908
P05162	9606.ENSP00000215886
Q9HB21	9606.ENSP00000357986
P07360	9606.ENSP00000224181
P20941	9606.ENSP00000375855
P18085	9606.ENSP00000306010
O60547	9606.ENSP00000370194
P22392	9606.ENSP00000376886
Q9Y689	9606.ENSP00000295087
P01270	9606.ENSP00000282091
O15169	9606.ENSP00000262320
P07998	9606.ENSP00000381057
P35914	9606.ENSP00000363614
P78368	9606.ENSP00000255641
P30291	9606.ENSP00000402084
P07384	9606.ENSP00000431984
Q13285	9606.ENSP00000362690
Q02763	9606.ENSP00000369375
P04637	9606.ENSP00000269305
O14757	9606.ENSP00000388648
P05067	9606.ENSP00000284981
P33151	9606.ENSP00000344115
Q96GD4	9606.ENSP00000313950
P43235	9606.ENSP00000271651
P05019	9606.ENSP00000302665
P10644	9606.ENSP00000376475
P50052	9606.ENSP00000360973
P40238	9606.ENSP00000361548
P04234	9606.ENSP00000300692
P09693	9606.ENSP00000431445
P20963	9606.ENSP00000354782
P01303	9606.ENSP00000384364
P01730	9606.ENSP00000011653
P01308	9606.ENSP00000380432
P52333	9606.ENSP00000391676
Q03431	9606.ENSP00000321999
Q07817	9606.ENSP00000302564
P30411	9606.ENSP00000450482
Q96QU6	9606.ENSP00000263776
O14788	9606.ENSP00000381775
Q9NR97	9606.ENSP00000312082
P56524	9606.ENSP00000264606
Q8WUI4	9606.ENSP00000080059
P30874	9606.ENSP00000350198
P32745	9606.ENSP00000480971
P17538	9606.ENSP00000354294
P05108	9606.ENSP00000268053
P25024	9606.ENSP00000295683
Q92753	9606.ENSP00000366093
P18545	9606.ENSP00000328412
Q13956	9606.ENSP00000266395
P52209	9606.ENSP00000270776
P54750	9606.ENSP00000410309
P02585	9606.ENSP00000361636
Q13332	9606.ENSP00000349932
P23469	9606.ENSP00000254667
P38606	9606.ENSP00000273398
P62745	9606.ENSP00000272233
P05556	9606.ENSP00000379350
P06756	9606.ENSP00000261023
P33402	9606.ENSP00000282249
Q9Y2I1	9606.ENSP00000339958
O14649	9606.ENSP00000306275
Q9NPC2	9606.ENSP00000430676
P30926	9606.ENSP00000261751
P32297	9606.ENSP00000315602
P30532	9606.ENSP00000299565
P18507	9606.ENSP00000410732
Q8N1C3	9606.ENSP00000295452
Q99928	9606.ENSP00000479113
P28476	9606.ENSP00000386029
O14764	9606.ENSP00000367848
P00709	9606.ENSP00000301046
P29034	9606.ENSP00000357697
Q9NZV8	9606.ENSP00000333496
Q9UK17	9606.ENSP00000319591
Q16620	9606.ENSP00000277120
Q7LG56	9606.ENSP00000251810
Q07864	9606.ENSP00000322570
P56282	9606.ENSP00000216367
Q9NR33	9606.ENSP00000420176
Q9NRF9	9606.ENSP00000363286
P07098	9606.ENSP00000377900
P11717	9606.ENSP00000349437
P07451	9606.ENSP00000285381
P23280	9606.ENSP00000366654
P35219	9606.ENSP00000314407
Q07699	9606.ENSP00000396915
Q9NY72	9606.ENSP00000376523
Q8IWT1	9606.ENSP00000322460
P09238	9606.ENSP00000279441
P09237	9606.ENSP00000260227
P24347	9606.ENSP00000215743
P50281	9606.ENSP00000308208
P51511	9606.ENSP00000219271
Q9ULZ9	9606.ENSP00000353767
Q99542	9606.ENSP00000313437
Q9Y5R2	9606.ENSP00000246186
Q9NPA2	9606.ENSP00000337816
Q9NRE1	9606.ENSP00000369753
P23258	9606.ENSP00000251413
Q96RD7	9606.ENSP00000227638
P35869	9606.ENSP00000242057
P11474	9606.ENSP00000384851
Q15788	9606.ENSP00000385216
Q8NEB9	9606.ENSP00000262039
Q9UNA0	9606.ENSP00000284987
Q08462	9606.ENSP00000342952
O95622	9606.ENSP00000419361
P20248	9606.ENSP00000274026
Q15661	9606.ENSP00000343577
Q13526	9606.ENSP00000247970
Q15596	9606.ENSP00000399968
P48552	9606.ENSP00000383063
P53350	9606.ENSP00000300093
Q16651	9606.ENSP00000319730
Q13362	9606.ENSP00000412324
P30153	9606.ENSP00000324804
P61626	9606.ENSP00000261267
P78536	9606.ENSP00000309968
P31151	9606.ENSP00000357712
P17612	9606.ENSP00000309591
P61925	9606.ENSP00000379696
P63208	9606.ENSP00000231487
P23467	9606.ENSP00000334928
P45984	9606.ENSP00000394560
Q99933	9606.ENSP00000420514
P11142	9606.ENSP00000432083
P61769	9606.ENSP00000452780
O60551	9606.ENSP00000367407
Q13133	9606.ENSP00000477707
P36897	9606.ENSP00000364133
Q9BVJ7	9606.ENSP00000357087
O43293	9606.ENSP00000442973
Q9UQF2	9606.ENSP00000241014
P45983	9606.ENSP00000378974
P33981	9606.ENSP00000358813
Q13554	9606.ENSP00000379098
P42892	9606.ENSP00000364028
P51955	9606.ENSP00000355966
Q9UGN5	9606.ENSP00000250416
Q9NQS7	9606.ENSP00000378295
P62136	9606.ENSP00000326031
P63151	9606.ENSP00000325074
P84077	9606.ENSP00000440005
Q15078	9606.ENSP00000318486
P40429	9606.ENSP00000375730
P62829	9606.ENSP00000420311
P61313	9606.ENSP00000309334
P62750	9606.ENSP00000389103
Q9UHA3	9606.ENSP00000260443
P62917	9606.ENSP00000262584
P39023	9606.ENSP00000346001
P62913	9606.ENSP00000363676
P55769	9606.ENSP00000383949
O75460	9606.ENSP00000401445
P25705	9606.ENSP00000381736
P06576	9606.ENSP00000262030
P36542	9606.ENSP00000349142
P60174	9606.ENSP00000229270
P08574	9606.ENSP00000317159
P22695	9606.ENSP00000268379
O14949	9606.ENSP00000367939
P47985	9606.ENSP00000306397
P14927	9606.ENSP00000430494
Q15118	9606.ENSP00000376352
Q9UBT6	9606.ENSP00000241436
Q9UKQ2	9606.ENSP00000265769
O14983	9606.ENSP00000349595
P41743	9606.ENSP00000295797
Q09013	9606.ENSP00000345997
Q7Z406	9606.ENSP00000470298
P04118	9606.ENSP00000259938
P25786	9606.ENSP00000414359
P25787	9606.ENSP00000223321
P25788	9606.ENSP00000216455
P25789	9606.ENSP00000044462
P28066	9606.ENSP00000271308
P60900	9606.ENSP00000261479
O14818	9606.ENSP00000359910
P49720	9606.ENSP00000483688
P28070	9606.ENSP00000290541
P28072	9606.ENSP00000270586
Q99436	9606.ENSP00000259457
P11488	9606.ENSP00000232461
P09466	9606.ENSP00000417898
Q9Y6M4	9606.ENSP00000353904
P09668	9606.ENSP00000220166
P19784	9606.ENSP00000262506
P13073	9606.ENSP00000457513
P20674	9606.ENSP00000317780
P10606	9606.ENSP00000258424
P09669	9606.ENSP00000428895
P04054	9606.ENSP00000312286
Q13627	9606.ENSP00000381932
P41235	9606.ENSP00000312987
Q9Y6Y9	9606.ENSP00000284818
Q9H2G2	9606.ENSP00000358770
Q16566	9606.ENSP00000282356
P49761	9606.ENSP00000378505
Q9Y6F1	9606.ENSP00000381740
Q9HCD5	9606.ENSP00000290231
Q16644	9606.ENSP00000396467
P63211	9606.ENSP00000248572
P62873	9606.ENSP00000481878
P01116	9606.ENSP00000256078
Q92696	9606.ENSP00000382341
P53611	9606.ENSP00000317473
P24386	9606.ENSP00000350386
Q9UQM7	9606.ENSP00000381412
Q00536	9606.ENSP00000276052
Q03426	9606.ENSP00000443551
Q15102	9606.ENSP00000444935
P16112	9606.ENSP00000387356
O00141	9606.ENSP00000356832
Q13557	9606.ENSP00000339740
P07737	9606.ENSP00000225655
Q9UHY7	9606.ENSP00000273920
Q15067	9606.ENSP00000293217
Q15375	9606.ENSP00000358309
P14920	9606.ENSP00000228476
P04632	9606.ENSP00000246533
P23458	9606.ENSP00000343204
P29597	9606.ENSP00000431885
P08758	9606.ENSP00000296511
Q969V6	9606.ENSP00000347847
P06396	9606.ENSP00000362924
P60981	9606.ENSP00000246069
Q14494	9606.ENSP00000354855
P23528	9606.ENSP00000432660
O75116	9606.ENSP00000317985
P06731	9606.ENSP00000221992
P35243	9606.ENSP00000226193
Q08209	9606.ENSP00000378323
P62330	9606.ENSP00000298316
P43080	9606.ENSP00000377784
P15151	9606.ENSP00000402060
O15143	9606.ENSP00000389631
P61160	9606.ENSP00000367220
P61158	9606.ENSP00000263238
O15144	9606.ENSP00000295685
O15145	9606.ENSP00000228825
P59998	9606.ENSP00000388169
O15511	9606.ENSP00000294742
Q9HCP0	9606.ENSP00000305777
Q12866	9606.ENSP00000295408
Q15418	9606.ENSP00000435412
O75865	9606.ENSP00000006275
Q9Y296	9606.ENSP00000436005
O14582	9606.ENSP00000392495
P13639	9606.ENSP00000307940
Q16654	9606.ENSP00000005178
P11684	9606.ENSP00000278282
P12883	9606.ENSP00000347507
P35080	9606.ENSP00000239940
P05187	9606.ENSP00000375881
P07948	9606.ENSP00000428924
P78362	9606.ENSP00000377262
Q8IU85	9606.ENSP00000478874
O94768	9606.ENSP00000263955
Q15120	9606.ENSP00000387536
P09848	9606.ENSP00000264162
P55196	9606.ENSP00000375960
Q9NWZ3	9606.ENSP00000390651
Q15119	9606.ENSP00000420927
P26447	9606.ENSP00000357705
P14550	9606.ENSP00000361140
Q92793	9606.ENSP00000262367
Q15648	9606.ENSP00000300651
Q13555	9606.ENSP00000319060
P80192	9606.ENSP00000451263
Q16558	9606.ENSP00000274629
Q9H2S1	9606.ENSP00000427120
Q10472	9606.ENSP00000269195
O43739	9606.ENSP00000297044
P62312	9606.ENSP00000422392
P32019	9606.ENSP00000362115
O43612	9606.ENSP00000293330
Q15796	9606.ENSP00000262160
O60678	9606.ENSP00000331879
P15170	9606.ENSP00000398131
Q9Y6I3	9606.ENSP00000406209
P04179	9606.ENSP00000446252
P00558	9606.ENSP00000362413
Q16762	9606.ENSP00000385828
P24855	9606.ENSP00000385905
Q15181	9606.ENSP00000362329
O75390	9606.ENSP00000342056
P13929	9606.ENSP00000324105
P36871	9606.ENSP00000360124
P29508	9606.ENSP00000283752
Q03403	9606.ENSP00000291526
P01920	9606.ENSP00000364080
P11172	9606.ENSP00000232607
P22694	9606.ENSP00000359719
P07108	9606.ENSP00000439012
P54819	9606.ENSP00000346921
Q92930	9606.ENSP00000312734
P22570	9606.ENSP00000416515
Q8IWL2	9606.ENSP00000397082
P11226	9606.ENSP00000363079
P19622	9606.ENSP00000297375
P51149	9606.ENSP00000265062
P04053	9606.ENSP00000360216
P17600	9606.ENSP00000295987
P35749	9606.ENSP00000379616
P51178	9606.ENSP00000430344
P63096	9606.ENSP00000343027
P09382	9606.ENSP00000215909
P20645	9606.ENSP00000000412
P15813	9606.ENSP00000357153
Q9NPH2	9606.ENSP00000337746
P31323	9606.ENSP00000265717
P46976	9606.ENSP00000340736
P30084	9606.ENSP00000357535
P22459	9606.ENSP00000328511
Q99798	9606.ENSP00000216254
P10600	9606.ENSP00000238682
Q9UHQ9	9606.ENSP00000356218
P46459	9606.ENSP00000381293
P07585	9606.ENSP00000052754
P31150	9606.ENSP00000394071
O14594	9606.ENSP00000252575
P20823	9606.ENSP00000257555
P51003	9606.ENSP00000216277
P35241	9606.ENSP00000384136
P26572	9606.ENSP00000404718
Q03393	9606.ENSP00000280362
Q14643	9606.ENSP00000306253
P19835	9606.ENSP00000361151
P78352	9606.ENSP00000382428
P19883	9606.ENSP00000256759
P48735	9606.ENSP00000331897
P68104	9606.ENSP00000339063
P07478	9606.ENSP00000485444
P62837	9606.ENSP00000381717
P20339	9606.ENSP00000273047
P40616	9606.ENSP00000261636
P49411	9606.ENSP00000322439
P49913	9606.ENSP00000296435
P50607	9606.ENSP00000305426
P35398	9606.ENSP00000261523
P52799	9606.ENSP00000245323
Q9NTG7	9606.ENSP00000372191
P29323	9606.ENSP00000363763
P09104	9606.ENSP00000437402
Q9GZU7	9606.ENSP00000273062
P61024	9606.ENSP00000311083
P49368	9606.ENSP00000295688
P61457	9606.ENSP00000299299
P62491	9606.ENSP00000261890
P62826	9606.ENSP00000446215
P11233	9606.ENSP00000005257
Q8NFW8	9606.ENSP00000229329
P05062	9606.ENSP00000363988
P62258	9606.ENSP00000264335
O14874	9606.ENSP00000378405
P55072	9606.ENSP00000351777
P22314	9606.ENSP00000338413
Q86YB8	9606.ENSP00000346635
Q92993	9606.ENSP00000340330
O60493	9606.ENSP00000230085
P55789	9606.ENSP00000248114
O60264	9606.ENSP00000283131
Q92830	9606.ENSP00000225916
Q16613	9606.ENSP00000250615
O15066	9606.ENSP00000364864
P78330	9606.ENSP00000378854
Q9BZZ2	9606.ENSP00000341141
Q01082	9606.ENSP00000349259
Q15382	9606.ENSP00000262187
Q99873	9606.ENSP00000406162
P61587	9606.ENSP00000364886
P36222	9606.ENSP00000255409
O75676	9606.ENSP00000333896
Q53H96	9606.ENSP00000220966
P61221	9606.ENSP00000296577
P40937	9606.ENSP00000408295
P60953	9606.ENSP00000383118
Q99661	9606.ENSP00000361298
Q96QT4	9606.ENSP00000320239
O14964	9606.ENSP00000331201
Q96KC2	9606.ENSP00000366487
O00187	9606.ENSP00000383690
Q9UL51	9606.ENSP00000251287
Q9UL54	9606.ENSP00000310094
P41091	9606.ENSP00000253039
Q96GD3	9606.ENSP00000318094
P36405	9606.ENSP00000260746
P30041	9606.ENSP00000342026
O15111	9606.ENSP00000359424
Q99835	9606.ENSP00000249373
P02708	9606.ENSP00000261007
P11230	9606.ENSP00000304290
Q07001	9606.ENSP00000258385
P07510	9606.ENSP00000374145
Q04844	9606.ENSP00000293780
P31327	9606.ENSP00000402608
P0C0L4	9606.ENSP00000396688
P0C0L5	9606.ENSP00000415941
